"id","sid","2015-10-08 00:05:00","2015-10-08 00:12:00","2015-10-08 00:34:00","2015-10-08 00:40:00","2015-10-08 01:32:00","2015-10-08 01:52:00","2015-10-08 02:52:00","2015-10-08 02:58:00","2015-10-08 04:13:00","2015-10-08 04:30:00","2015-10-08 05:58:00","2015-10-08 06:16:00","2015-10-08 06:41:00","2015-10-08 06:54:00","2015-10-08 07:07:00","2015-10-08 07:25:00","2015-10-08 07:38:00","2015-10-08 07:52:00","2015-10-08 08:05:00","2015-10-08 08:18:00","2015-10-08 08:31:00","2015-10-08 08:44:00","2015-10-08 08:57:00","2015-10-08 09:10:00","2015-10-08 09:22:00","2015-10-08 09:35:00","2015-10-08 09:48:00","2015-10-08 10:00:00","2015-10-08 10:12:00","2015-10-08 10:24:00","2015-10-08 10:37:00","2015-10-08 10:49:00","2015-10-08 11:03:00","2015-10-08 11:18:00","2015-10-08 11:33:00","2015-10-08 11:48:00","2015-10-08 12:02:00","2015-10-08 12:17:00","2015-10-08 12:32:00","2015-10-08 12:47:00","2015-10-08 12:59:00","2015-10-08 13:12:00","2015-10-08 13:24:00","2015-10-08 13:37:00","2015-10-08 13:49:00","2015-10-08 14:02:00","2015-10-08 14:15:00","2015-10-08 14:28:00","2015-10-08 14:40:00","2015-10-08 14:53:00","2015-10-08 15:07:00","2015-10-08 15:20:00","2015-10-08 15:33:00","2015-10-08 15:46:00","2015-10-08 15:59:00","2015-10-08 16:13:00","2015-10-08 16:26:00","2015-10-08 16:39:00","2015-10-08 16:52:00","2015-10-08 17:06:00","2015-10-08 17:19:00","2015-10-08 17:32:00","2015-10-08 17:53:00","2015-10-08 18:12:00","2015-10-08 18:25:00","2015-10-08 18:38:00","2015-10-08 18:51:00","2015-10-08 19:04:00","2015-10-08 19:17:00","2015-10-08 19:30:00","2015-10-08 19:43:00","2015-10-08 19:55:00","2015-10-08 20:08:00","2015-10-08 20:21:00","2015-10-08 20:39:00","2015-10-08 20:53:00","2015-10-08 21:03:00","2015-10-08 21:18:00","2015-10-08 21:29:00","2015-10-08 21:41:00","2015-10-08 21:53:00","2015-10-08 22:04:00","2015-10-08 22:16:00","2015-10-08 22:27:00","2015-10-08 22:38:00","2015-10-08 22:56:00","2015-10-08 23:04:00","2015-10-08 23:16:00","2015-10-08 23:24:00","2015-10-08 23:35:00","2015-10-08 23:50:00","2015-10-08 23:56:00"
"21",167,"1","1","1","1","1","1","1","1","1","0","0","0","2","1","2","1","5","4","5","9","9","12","18","23","21","27","27","33","30","29","29","29","32","33","33","31","33","35","38","37","36","39","38","37","39","41","40","37","33","32","34","30","31","32","32","30","27","27","27","25","21","8","5","0","0","0","0","0","1","0","0","0","0","1","1","0","2","2","0","0","1","0","0","0","1","1","0","1","1","2","2","2"
"22",168,"2","1","1","1","1","1","1","0","0","0","12","13","14","15","16","14","13","12","12","8","9","16","22","32","31","33","37","40","43","41","41","43","44","43","41","39","38","42","43","44","43","45","46","44","42","44","43","42","37","42","45","45","44","45","42","43","41","38","33","31","24","22","25","16","11","12","5","4","0","0","2","1","0","3","1","1","2","1","2","0","0","1","1","1","1","0","0","0","1","0","0","0"
"23",174,"29","28","28","28","29","29","29","29","29","28","28","28","28","28","26","22","22","21","21","17","16","15","11","13","10","2","0","0","0","0","1","2","1","0","0","0","1","1","0","0","1","1","3","3","1","3","2","3","4","5","4","4","6","5","6","1","0","0","0","0","1","3","1","4","4","4","3","6","2","1","1","3","2","3","4","9","8","7","11","12","16","17","17","21","22","24","24","24","25","24","25","25"
"24",195,"0","0","2","2","2","2","2","2","2","2","4","5","5","7","6","7","10","11","13","14","13","16","20","19","21","25","30","27","27","29","27","27","29","29","28","29","29","30","31","31","31","30","28","28","29","28","29","25","25","24","22","25","22","23","21","20","17","15","18","16","12","2","1","0","0","2","1","0","0","1","1","0","0","0","0","0","0","0","1","2","2","1","1","0","0","0","1","0","0","0","0","0"
"25",212,"0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","2","3","6","5","2","5","8","10","17","20","25","26","25","25","26","26","26","25","22","24","25","26","25","25","22","23","24","24","24","24","26","25","26","25","23","26","25","23","25","24","26","23","24","25","24","25","22","16","13","12","13","13","14","14","10","9","6","3","0","1","2","4","7","7","9","7","6","5","4","4","2","2","2","3","3","4","4"
"26",216,"15","15","15","15","15","15","15","15","15","15","15","15","15","14","14","14","14","14","14","12","11","11","10","10","10","8","8","8","8","8","8","8","8","8","8","8","9","8","8","8","8","6","5","5","6","5","7","7","6","6","6","6","5","5","5","5","5","5","5","5","4","4","4","4","4","7","7","7","7","5","5","4","4","4","4","4","6","5","6","7","7","7","8","8","9","9","8","8","8","8","8","8"
"27",217,"12","12","12","12","12","12","12","12","12","12","12","12","13","13","13","13","15","15","14","15","15","13","14","14","15","17","17","17","17","17","17","17","20","22","22","21","17","19","20","20","22","19","19","16","16","14","15","17","17","16","14","14","14","11","10","9","9","9","8","4","2","3","3","4","6","3","4","5","5","4","4","7","5","5","5","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"28",218,"26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","25","25","24","23","23","24","23","21","20","22","22","22","22","22","22","22","21","21","20","20","21","21","21","21","21","21","22","21","21","21","21","21","21","21","20","20","20","19","19","19","19","19","21","22","22","21","18","18","17","17","16","18","18","18","18","18","18","16","16","16","16","16","16","15","14","14","15","15","15","15","16","16","16","16","16","16"
"29",223,"27","27","26","27","27","28","28","28","28","29","29","28","29","28","28","30","28","29","30","29","29","28","25","21","17","15","12","12","13","13","13","13","13","12","16","19","21","21","21","21","21","20","20","19","19","18","16","17","17","19","21","20","20","16","13","13","15","18","16","18","21","22","29","29","30","30","28","32","32","31","31","29","26","29","27","30","28","25","26","24","23","22","22","23","24","27","28","26","26","26","25","24"
"30",224,"1","1","0","0","0","0","0","0","0","0","0","0","2","4","4","5","6","3","5","4","2","3","10","11","14","14","14","15","14","16","16","14","14","12","13","14","12","13","13","17","19","17","17","16","15","13","14","14","17","23","23","22","21","22","21","20","21","22","18","17","15","13","12","11","10","7","3","2","2","1","1","3","1","2","0","0","1","0","2","3","2","2","2","1","1","0","0","0","0","0","1","1"
"31",225,"1","1","1","1","2","2","2","2","2","2","1","1","1","2","2","4","4","4","5","5","5","7","14","17","21","23","26","27","27","28","29","28","28","29","28","31","33","32","33","32","31","32","35","36","35","36","36","36","36","36","36","35","36","36","36","34","35","35","36","36","36","32","29","23","21","18","18","22","18","17","16","16","18","17","16","17","16","17","17","17","17","16","13","12","12","10","9","9","9","9","9","10"
"32",228,"1","1","1","1","2","2","2","2","2","2","4","4","4","3","4","5","5","8","20","34","49","50","53","52","52","52","52","52","52","52","52","52","52","51","50","51","52","50","50","50","50","51","52","52","51","51","52","51","51","52","50","50","46","45","40","36","34","34","31","25","17","7","4","1","2","0","0","2","0","0","0","0","1","0","1","0","0","2","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"33",229,"0","0","0","0","0","0","0","0","0","0","3","3","2","2","4","2","1","5","7","11","15","21","21","22","22","22","22","21","22","21","20","22","22","21","23","21","22","23","21","23","22","20","22","23","22","22","23","23","22","22","23","23","23","23","23","21","23","22","21","18","16","21","23","22","21","21","22","23","23","18","21","21","22","23","23","20","17","17","15","12","13","12","12","13","10","11","12","11","10","9","10","11"
"34",232,"0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","2","6","6","6","6","8","8","8","8","5","5","5","7","6","4","4","4","7","6","6","7","14","15","13","13","14","14","14","14","14","13","14","13","14","14","13","11","9","15","14","15","14","14","14","12","12","12","12","11","11","11","11","10","10","11","11","11","11","11","11","11","11","11","11"
"35",233,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","3","3","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7","7","7","6","6","7","8","8","8","8","8","7","6","6","6","6","6","6","6","6","6","4","5","6","5","5","7","7","7","7","7","6","7","6","2","2","2","2","2","2","1","1","1","0","0","0","0","0","0","0","0","0"
